user_id,lifetime_days,daily_revenue,discount_rate
1,281,9.06,0.03
2,261,4.37,0.02
3,137,7.97,0.05
4,24,9.51,0.05
5,142,6.53,0.02
6,482,2.5,0.01
7,177,2.59,0.02
8,331,2.98,0.02
9,164,4.76,0.05
10,438,3.7,0.03
11,127,6.73,0.03
12,271,5.83,0.04
13,287,7.12,0.01
14,429,5.69,0.05
15,444,2.75,0.04
16,315,4.62,0.04
17,445,7.27,0.02
18,267,6.23,0.04
19,335,6.82,0.04
20,35,8.51,0.01
21,416,8.0,0.02
22,58,5.06,0.02
23,51,3.79,0.03
24,318,2.95,0.01
25,204,5.28,0.02
26,242,7.1,0.05
27,75,2.15,0.03
28,401,7.73,0.05
29,316,4.68,0.03
30,446,7.66,0.03
31,168,1.63,0.04
32,288,0.88,0.04
33,74,2.59,0.03
34,137,5.91,0.02
35,150,3.33,0.02
36,330,4.65,0.01
37,300,0.55,0.01
38,130,9.27,0.03
39,220,7.91,0.04
40,246,4.22,0.02
41,219,2.22,0.02
42,418,6.91,0.01
43,131,1.84,0.05
44,19,3.57,0.01
45,293,9.37,0.02
46,54,8.22,0.02
47,81,8.85,0.02
48,355,1.17,0.04
49,334,4.28,0.04
50,392,4.07,0.02
51,265,2.24,0.03
52,204,9.6,0.03
53,389,2.34,0.02
54,133,6.76,0.05
55,135,3.63,0.05
56,236,2.89,0.03
57,190,9.41,0.02
58,444,6.65,0.05
59,330,6.44,0.03
60,165,4.12,0.03
61,356,1.63,0.04
62,243,8.86,0.03
63,269,3.22,0.03
64,206,7.45,0.03
65,478,3.79,0.02
66,429,4.09,0.02
67,235,5.38,0.05
68,41,6.4,0.04
69,227,7.39,0.05
70,69,1.84,0.02
71,307,2.28,0.03
72,285,8.64,0.01
73,320,8.79,0.02
74,421,1.25,0.02
75,119,9.38,0.03
76,361,2.49,0.01
77,367,3.32,0.02
78,403,1.16,0.03
79,438,4.11,0.03
80,290,5.31,0.03
81,366,4.9,0.05
82,78,8.74,0.01
83,56,1.59,0.03
84,19,1.19,0.04
85,274,8.34,0.04
86,431,7.95,0.01
87,296,9.44,0.03
88,98,6.72,0.04
89,473,7.76,0.02
90,246,6.05,0.02
91,64,9.86,0.03
92,219,6.41,0.03
93,184,6.95,0.01
94,297,5.31,0.04
95,194,8.21,0.05
96,439,5.84,0.01
97,363,9.57,0.03
98,217,9.29,0.04
99,77,2.12,0.05
100,395,3.82,0.02
101,12,6.09,0.02
102,35,2.04,0.01
103,179,0.77,0.02
104,179,7.91,0.03
105,296,6.57,0.02
106,386,1.74,0.04
107,323,3.1,0.02
108,255,8.92,0.03
109,478,6.08,0.01
110,285,6.8,0.01
111,141,3.18,0.02
112,300,2.42,0.02
113,479,5.67,0.01
114,202,8.35,0.03
115,365,6.99,0.04
116,347,1.5,0.02
117,105,2.84,0.03
118,469,5.13,0.01
119,435,6.35,0.04
120,486,3.65,0.03
121,435,8.32,0.01
122,480,8.29,0.04
123,458,4.72,0.01
124,157,7.28,0.01
125,272,4.49,0.05
126,226,4.43,0.05
127,424,5.5,0.03
128,319,4.83,0.02
129,289,1.77,0.02
130,17,3.88,0.03
131,406,6.92,0.03
132,151,5.97,0.02
133,296,2.25,0.01
134,34,4.2,0.01
135,156,8.24,0.02
136,109,9.41,0.02
137,188,2.24,0.04
138,85,1.49,0.04
139,302,6.33,0.02
140,341,1.15,0.02
141,115,0.69,0.03
142,380,9.41,0.03
